name	place	lat	lon
@1972matthewmill	Natalia Burque Leon, San Luis Rio Colorado, San Luis Río Colorado, Sonora, 83400, México	32.4215	-114.8235
@9tana	ประเทศไทย	14.8971921	100.83273
@AaronSteinhorst	Baraboo, Sauk County, Wisconsin, 53913, USA	43.4704014	-89.7437844
@aBIGq	内蒙古自治区, 中国	43.2443242	114.3251664
@absinthol	USA	39.7837304	-100.4458825
@AbsurdNihilism	S. S. A., Jose Angel Leal, Priv. Villa Jardín, Durango Ciudad, Durango, 34220, México	24.0494197	-104.6251771
@adbmalmeida	Lisboa, LSB, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1100-148, Portugal	38.7077507	-9.1365919
@aemyn	Sydney, NSW, Australia	-33.8548157	151.2164539
@afi_tk	Toronto, Ontario, Canada	43.653963	-79.387207
@ahmadkaukabkhan	Alabama, USA	33.2588817	-86.8295337
@Alexturbin04401	Maine, USA	45.709097	-68.8590201
@AllBakkoi	Hellgate Rapids, Unorganized North Algoma, Algoma District, Ontario, Canada	46.9418242	-82.6627088
@Amant_de_pantsu	Portugal	40.033265	-7.8896263
@Amrissa93	Hospital, Cantón San José, Provincia San José, 10103, Costa Rica	9.9335201	-84.0895548
@am_eromz	Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada	45.4972159	-73.6103642
@andrew_martin97	Valdosta, Lowndes County, Georgia, USA	30.8327022	-83.2784851
@AntisocialJW2	Gamer, Quimper, Finistère, Bretagne, France métropolitaine, 29380, France	47.9443643	-3.6595413
@arikaleph	Palo Alto, Santa Clara County, California, USA	37.4455862	-122.1619289
@atomicloli	Africa	2.0000003	15.9999997
@azoko	Chicago, Cook County, Illinois, USA	41.8755616	-87.6244212
@babte28	Farmington Hills, Oakland County, Michigan, USA	42.4853125	-83.3771553
@BARONVONBADBEAV	Maryland, USA	39.5162234	-76.9382069
@Bayanita89	ژندر گړی, جانيخېل, خوست, افغانستان	33.20916	69.527081
@bazyjonesy	Dublin, County Dublin, Leinster, Ireland	53.3497645	-6.2602732
@benNuwn	Austin, Travis County, Texas, USA	30.2711286	-97.7436995
@benshapiro	California, USA	36.7014631	-118.7559974
@BF3WOT	攸县, 株洲市 / Zhuzhou, 湖南省, 中国	27.180171	113.483764
@BigBowsa	Texas, Hamngatan, Kålhagen, Hudiksvall, Hälsingland, Gävleborgs län, Norrland, 82422, Sverige	61.7272003	17.1098206
@bigfack	Mpls. Convention Center, Minneapolis Skyway, Loring Park, Minneapolis, Hennepin County, Minnesota, 55401:55403, USA	44.970041	-93.275861
